gene	chr	start	end	ecto	endo	meso
Vpreb1	16	16868402	16870843	-0.5320743	0.1548297	0.10238584
Smpd4	16	17619354	17644828	7.0682106	6.4722424	6.953207
Lamp3	16	19653381	19706365	-0.19865052	-0.5232422	-0.5334579
Rnf168	16	32277459	32301434	6.2739916	5.966724	6.258406
Lrch3	16	32914100	33015647	4.524943	5.6159477	4.9838176
Nit2	16	57156671	57167332	5.5406747	5.402478	5.796149
Tmem30c	16	57266139	57292865	-3.3685756	-1.932633	-2.2159755
Pros1	16	62854307	62929346	2.9952464	3.8617828	4.401095
Cggbp1	16	64851996	64859507	6.385238	6.68449	6.6964335
Tiam1	16	89787111	89980080	3.8134642	3.4049888	4.0918574
Gcfc1	16	91014037	91044543	5.5502877	5.6859818	5.686157
Olig1	16	91269769	91271939	2.636247	2.5247478	-0.40100747
Serac1	17	6042196	6079741	2.720402	3.0631342	1.6813842
Prr18	17	8340406	8344112	-1.783613	-0.074652106	-0.8693251
Zfp229	17	21733724	21748968	3.4742239	3.3434913	2.979936
Zfp820	17	21816876	21845759	4.614418	4.6898766	4.9230704
Amdhd2	17	24155833	24163766	4.2387547	4.9385023	4.7128625
Pgp	17	24470473	24471591	6.8542194	6.1470184	6.907922
Fahd1	17	24848896	24850302	4.145998	3.933873	4.2673426
Eme2	17	24888486	24895087	5.285549	5.3785477	5.4447026
Gng13	17	25717171	25719406	2.361288	2.3711476	2.5102637
Cuta	17	26937973	26939478	6.001333	6.1825733	5.8666334000000004
Wiz	17	32354055	32389401	4.7966905	4.5850363	4.3635964
Hnrnpm	17	33646233	33686860	8.827785	8.558782	8.828916
Rab11b	17	33745950	33760530	6.8792677	6.721779	6.8466873
Kifc1	17	33875666	33890661	5.6058393	5.88515	6.170605
Rdbp	17	34850391	34856372	6.5209284	6.2035565	6.446286
Usp49	17	47630690	47686738	2.317925	2.4575357	2.7318869
Ebi3	17	55952623	55957021	-0.83608043	-0.5575937	-1.9411157000000001
D17Wsu104e	17	56175744	56183920	6.3999634	6.981472	6.9298153
Ranbp3	17	56673225	56711769	7.4802713	6.961521	7.3094482
Fbxl17	17	63057452	63500017	2.1683655	3.3504553	2.9350252
Foxn2	17	88440711	88490533	4.6890297	5.1280627	5.1342816
Svil	18	4920540	5119299	3.4742239	3.251002	3.1575608
Kif5b	18	6201002	6242174	8.24268	8.360479	8.351029
Abhd3	18	10644411	10706771	1.2545221	2.1415083	0.08079899
Kctd1	18	14968685	15151446	2.023742	3.2107499	3.1957183
Asxl3	18	22344883	22530227	0.53831506	0.73270273	1.9745808
Mapre2	18	23752333	23893861	6.8304834	6.396182	6.7560644
Prelid2	18	41875696	41951194	4.8450494	4.3830824	3.9910688
Commd10	18	46958862	47087992	4.974134	4.9427323	5.0287848
Dctn4	18	60526221	60558762	6.2609115	6.2194934	6.2787437
Ablim3	18	61799395	61911852	-1.503505	0.84872663	-5.096394
Atp5a1	18	77773729	77782869	9.950461	9.66818	9.905654
Adnp2	18	80126338	80151482	4.5301337	4.535482	4.807625
Ndufs8	19	3908870	3912717	7.0487494	7.023471	7.1825566
Rbm4b	19	4756525	4765938	4.7090034	5.020108	4.8998866
Pacs1	19	5133688	5273119	4.045052	4.140169	4.319348
Rela	19	5637483	5648130	4.4894056	5.0834785	4.2133923
Mark2	19	7275396	7341860	4.6541886	4.8322387000000004	4.705094
Ints5	19	8892987	8897890	5.538315	5.1505136	5.661678
Sdhaf2	19	10500513	10525209	6.377219	6.1691785	6.2142706
Mrpl16	19	11770415	11774944	5.3390303	5.1331196	5.425117
Ankrd1	19	36111965	36119844	-4.5909677	-2.3476706	-1.970863
Fgfbp3	19	36917550	36919615	1.1048403	0.3527691	1.0607231
Ide	19	37268743	37337852	7.7657137	7.282672	6.7758613
Rrp12	19	41862852	41896153	6.3307486	5.7172966	6.2636046
Loxl4	19	42593982	42612813	-2.421043	-7.084636	-1.1379731
Ndufb8	19	44548572	44555440	8.300405	8.238895	8.486816
Kazald1	19	45075241	45079289	-1.5320742	-2.0257425	-1.0480311
Fbxw4	19	45578254	45660312	1.6851563	1.722003	1.7202988
Kcnip2	19	45791839	45816061	0.28350115	-0.062268347	-0.7614098
Ldb1	19	46032593	46045214	4.7995596	4.8974857	4.9921536
Nolc1	19	46075863	46085528	8.436333	7.4194098	8.316945
Psd	19	46312087	46327156	0.5314287	-0.15127335	-0.7420445
Usmg5	19	47083471	47090625	8.6668625	8.836534	8.912329
Sorcs1	19	50143301	50678646	-1.0884675	-5.3476706	-4.648935
A630007B06Rik	19	56787481	56822190	5.372169	5.508236	5.23493
Fam45a	19	60811585	60836227	5.568693	5.279255	5.057503
Suv39h1	X	8061171	8074760	6.688352	6.467713	6.588514
Maoa	X	16619698	16687818	6.1120706	5.210112	5.951783
Upf3b	X	37091678	37110322	6.4663467	6.550427	5.777819
Mcts1	X	38600578	38613426	6.119408	6.0467925	6.3935905
Dcaf12l2	X	44365458	44368342	-0.9471118	-1.4090711	-0.92646897
Aifm1	X	48474944	48513563	5.6324306	5.4415913	5.707297
Rap2c	X	51003912	51018018	4.457519	5.8063035	5.2953377
Cxx1a	X	53642488	53643763	1.7927363	1.6065257	1.3881541
Zfp275	X	73342621	73359080	5.48785	5.4221673	5.45741
Fam3a	X	74384719	74393272	2.6711268	3.3117306	2.6103373
Ikbkg	X	74393290	74453854	4.780809	5.1885767	4.6731434
Tbl1x	X	77511013	77662983	7.8472176	7.783651	7.9385457
Pcyt1b	X	93654863	93749951	4.6446476	4.2310166	2.8688655
Fam123b	X	95420318	95444872	5.742374	5.8005943	5.9041824
Efnb1	X	99136130	99148991	1.8240695	4.642433	4.499796
Chic1	X	103356476	103396092	3.9693651	3.7781734	3.8878949
Abcb7	X	104280657	104413856	5.8597274	5.6096735	5.9519067
1700008I05Rik	X	135654698	135693790	0.33976942	-0.34767053	-1.0244442
Frmpd3	X	140367494	140394540	-4.5909677	-1.2602078	-0.8904897
Tro	X	150645304	150657583	5.0627728	4.0925064	5.3207874
Hsd17b10	X	152001845	152004442	6.244819	6.460087	6.4787583
