gene	chr	start	end	strand	ecto	endo	meso	set
Sipa1l1	12	82170016	82451782	+	5.3891716	5.773647	5.243355	Sim
1110018G07Rik	12	84918148	84970900	-	4.7669506	4.8799453	4.749381	Sim
Zc3h14	12	98746968	98787774	+	6.3871465	6.4205136	6.435253	Sim
Foxn3	12	99194980	99450111	-	5.2921844	4.4559226	5.2784476	Sim
Ifi27l2a	12	103442167	103443680	-	1.0089449	0.5830667	-0.1379731	Sim
Atg2b	12	105613539	105685241	-	4.4907374	4.4044313	4.7458134	Sim
Ccnk	12	108179738	108203359	+	5.220407	4.9832463	5.259157	Sim
Zfp386	12	116047724	116060592	+	5.7671337	5.8682666	5.7653975	Sim
Ncapg2	12	116405402	116463531	+	6.556873	6.130256	6.6255207	Sim
BC016423	13	3566036	3611108	-	6.7205915	6.3617	6.8021045000000004	Sim
Lyst	13	13590409	13777440	+	2.0039787	3.9674792	2.3374758	Sim
B3galnt2	13	13954674	13999068	+	5.6466403	5.791241	5.664855	Sim
Pou6f2	13	18121101	18382041	-	-5.5909677	-2.932633	-3.855386	Sim
Trim27	13	21179445	21194724	+	7.7426066	7.3192935	7.6861763	Sim
Hist1h2ak	13	21753395	21753907	-	-0.21014611	-1.1252782	0.06622619	Sim
Hist1h3e	13	23561534	23562369	-	1.8602433	1.6672798	1.7074436	Sim
Hist1h1a	13	23763668	23764414	+	-0.120648034	-0.5232422	0.25152922	Sim
Dcdc2a	13	25056004	25210706	+	0.9008851	0.25719142	-4.163508	Sim
Riok1	13	38036989	38061433	+	5.568693	5.362275	5.616758	Sim
Hivep1	13	42052021	42185026	+	3.9174871000000002	3.7353654	3.6093955	Sim
Omd	13	49582766	49592609	+	0.81842303	-1.1777456	1.3021554	Sim
Mxd3	13	55325168	55329758	-	5.4733257	5.2691846	5.4658484	Sim
Gkap1	13	58233351	58274188	-	3.1048403	2.6045854	1.3808123	Sim
Hnrnpk	13	58391142	58403343	-	11.087477	10.837392	10.998961	Sim
Zfp738	13	67667437	67687071	-	4.482281	4.334153	4.1742196	Sim
Mtrr	13	68560780	68582121	-	5.0471663	4.355079	4.888801	Sim
Cetn3	13	81783292	81797143	+	7.5241303	7.3848505	7.34228	Sim
Zcchc9	13	91796533	91807705	-	4.4304748	4.581588	4.705535	Sim
Pdhb	14	8165991	8172992	-	7.5292163	7.620756	7.7554793	Sim
Ap3m1	14	21031442	21052508	-	6.768233	6.9624686	6.6565566	Sim
Polr3a	14	24448694	24487046	-	5.3522797	4.9073577	5.2673426	Sim
Duxbl	14	25978577	25990088	+	-2.8540022	-3.125278	-2.5334578	Sim
Arhgef3	14	27238039	27403904	+	-0.056989376	1.6410141	-1.8279052	Sim
Eaf1	14	31495079	31509858	+	5.4195604	5.8140907	5.6850405	Sim
Timm23	14	32180162	32201898	-	7.513795	6.8589373	7.5069375	Sim
Zfp488	14	33967070	33978764	-	-5.1759305	-6.932633	-3.6489348	Sim
Ktn1	14	47663756	47736563	+	7.054165	7.4125643	7.3005996	Sim
Apex1	14	50924968	50927139	+	8.949362	8.141341	8.941956	Sim
Tox4	14	52279146	52296391	+	6.502009	6.314108	6.487159	Sim
Acin1	14	54642161	54686931	-	7.2813864	7.2641997	7.317138	Sim
Serpine3	14	62663667	62692243	+	-1.1535627	-0.12527815	-1.8693252	Sim
Kctd9	14	67715937	67742310	+	3.4415371	3.5451252	3.9762866	Sim
Rhobtb2	14	69784990	69805530	-	2.883414	2.4661107	3.0961232	Sim
Bin3	14	70100145	70138191	+	4.3564253	4.828918	4.6926947	Sim
Kbtbd7	14	79426511	79431039	+	2.4350944	3.2497613	3.3833861	Sim
Elf1	14	79481194	79582476	+	1.2292111	3.4735718	3.4588923	Sim
Tdrd3	14	87416639	87545373	+	4.6490283	4.875929	5.1927867	Sim
Gpr180	14	118137127	118164232	+	5.9418745	5.852002	6.190216	Sim
Zfp622	15	25984366	25998482	+	5.539388	5.299788	5.373525	Sim
Eif3e	15	43250040	43282736	-	8.915546	8.492288	8.864225	Sim
Eny2	15	44428111	44437685	+	7.791476	7.8293858	7.9878855	Sim
Utp23	15	51877429	51884614	+	4.6874814	4.89907	4.8960295	Sim
Slc52a2	15	76538943	76542130	+	4.419793	4.7807536	4.720444	Sim
Csnk1e	15	79417856	79443919	-	4.8891487	5.0460773	5.1003757	Sim
Rrp7a	15	83113433	83122801	-	7.1106997	7.055696	7.0626173	Sim
Cyb5r3	15	83153494	83172592	-	7.0438433	7.2232127	7.131714	Sim
Smc1b	15	85064691	85131957	-	-0.66813576	-1.2047126	-1.129561	Sim
Tubgcp6	15	89098357	89123087	-	4.5680623	4.6635566	4.9593816	Sim
Prickle1	15	93499114	93595891	-	4.8059936	6.019926	6.0129023	Sim
Lmbr1l	15	98903921	98918231	-	4.5079412	4.559721	4.6026263	Sim
Prph	15	99055174	99058978	+	0.09085609	-1.6847056	-1.1549461	Sim
Pcbp2	15	102470632	102500059	+	8.206389	8.199345	8.406121	Sim
Cpped1	16	11803721	11909445	-	3.6537924	3.7184186	3.7130089	Sim
Vpreb1	16	16868402	16870843	-	-0.5320743	0.1548297	0.10238584	Sim
Smpd4	16	17619354	17644828	+	7.0682106	6.4722424	6.953207	Sim
Lamp3	16	19653381	19706365	-	-0.19865052	-0.5232422	-0.5334579	Sim
Rnf168	16	32277459	32301434	+	6.2739916	5.966724	6.258406	Sim
Lrch3	16	32914100	33015647	+	4.524943	5.6159477	4.9838176	Sim
Nit2	16	57156671	57167332	-	5.5406747	5.402478	5.796149	Sim
Tmem30c	16	57266139	57292865	-	-3.3685756	-1.932633	-2.2159755	Sim
Pros1	16	62854307	62929346	+	2.9952464	3.8617828	4.401095	Sim
Cggbp1	16	64851996	64859507	+	6.385238	6.68449	6.6964335	Sim
Tiam1	16	89787111	89980080	-	3.8134642	3.4049888	4.0918574	Sim
Gcfc1	16	91014037	91044543	-	5.5502877	5.6859818	5.686157	Sim
Olig1	16	91269769	91271939	+	2.636247	2.5247478	-0.40100747	Sim
Serac1	17	6042196	6079741	-	2.720402	3.0631342	1.6813842	Sim
Prr18	17	8340406	8344112	+	-1.783613	-0.074652106	-0.8693251	Sim
Zfp229	17	21733724	21748968	+	3.4742239	3.3434913	2.979936	Sim
Zfp820	17	21816876	21845759	-	4.614418	4.6898766	4.9230704	Sim
Amdhd2	17	24155833	24163766	-	4.2387547	4.9385023	4.7128625	Sim
Pgp	17	24470473	24471591	+	6.8542194	6.1470184	6.907922	Sim
Fahd1	17	24848896	24850302	-	4.145998	3.933873	4.2673426	Sim
Eme2	17	24888486	24895087	-	5.285549	5.3785477	5.4447026	Sim
Gng13	17	25717171	25719406	+	2.361288	2.3711476	2.5102637	Sim
Cuta	17	26937973	26939478	-	6.001333	6.1825733	5.8666334000000004	Sim
Wiz	17	32354055	32389401	-	4.7966905	4.5850363	4.3635964	Sim
Hnrnpm	17	33646233	33686860	-	8.827785	8.558782	8.828916	Sim
Rab11b	17	33745950	33760530	-	6.8792677	6.721779	6.8466873	Sim
Kifc1	17	33875666	33890661	-	5.6058393	5.88515	6.170605	Sim
Rdbp	17	34850391	34856372	+	6.5209284	6.2035565	6.446286	Sim
Usp49	17	47630690	47686738	+	2.317925	2.4575357	2.7318869	Sim
Ebi3	17	55952623	55957021	+	-0.83608043	-0.5575937	-1.9411157000000001	Sim
D17Wsu104e	17	56175744	56183920	-	6.3999634	6.981472	6.9298153	Sim
Ranbp3	17	56673225	56711769	+	7.4802713	6.961521	7.3094482	Sim
Fbxl17	17	63057452	63500017	-	2.1683655	3.3504553	2.9350252	Sim
Foxn2	17	88440711	88490533	+	4.6890297	5.1280627	5.1342816	Sim
Svil	18	4920540	5119299	+	3.4742239	3.251002	3.1575608	Sim
Kif5b	18	6201002	6242174	-	8.24268	8.360479	8.351029	Sim
Abhd3	18	10644411	10706771	-	1.2545221	2.1415083	0.08079899	Sim
Kctd1	18	14968685	15151446	-	2.023742	3.2107499	3.1957183	Sim
Asxl3	18	22344883	22530227	+	0.53831506	0.73270273	1.9745808	Sim
Mapre2	18	23752333	23893861	+	6.8304834	6.396182	6.7560644	Sim
Prelid2	18	41875696	41951194	-	4.8450494	4.3830824	3.9910688	Sim
Commd10	18	46958862	47087992	+	4.974134	4.9427323	5.0287848	Sim
Dctn4	18	60526221	60558762	+	6.2609115	6.2194934	6.2787437	Sim
Ablim3	18	61799395	61911852	-	-1.503505	0.84872663	-5.096394	Sim
Atp5a1	18	77773729	77782869	+	9.950461	9.66818	9.905654	Sim
Adnp2	18	80126338	80151482	-	4.5301337	4.535482	4.807625	Sim
Ndufs8	19	3908870	3912717	-	7.0487494	7.023471	7.1825566	Sim
Rbm4b	19	4756525	4765938	+	4.7090034	5.020108	4.8998866	Sim
Pacs1	19	5133688	5273119	-	4.045052	4.140169	4.319348	Sim
Rela	19	5637483	5648130	+	4.4894056	5.0834785	4.2133923	Sim
Mark2	19	7275396	7341860	-	4.6541886	4.8322387000000004	4.705094	Sim
Ints5	19	8892987	8897890	+	5.538315	5.1505136	5.661678	Sim
Sdhaf2	19	10500513	10525209	-	6.377219	6.1691785	6.2142706	Sim
Mrpl16	19	11770415	11774944	+	5.3390303	5.1331196	5.425117	Sim
Ankrd1	19	36111965	36119844	-	-4.5909677	-2.3476706	-1.970863	Sim
Fgfbp3	19	36917550	36919615	-	1.1048403	0.3527691	1.0607231	Sim
Ide	19	37268743	37337852	-	7.7657137	7.282672	6.7758613	Sim
Rrp12	19	41862852	41896153	-	6.3307486	5.7172966	6.2636046	Sim
Loxl4	19	42593982	42612813	-	-2.421043	-7.084636	-1.1379731	Sim
Ndufb8	19	44548572	44555440	-	8.300405	8.238895	8.486816	Sim
Kazald1	19	45075241	45079289	+	-1.5320742	-2.0257425	-1.0480311	Sim
Fbxw4	19	45578254	45660312	-	1.6851563	1.722003	1.7202988	Sim
Kcnip2	19	45791839	45816061	-	0.28350115	-0.062268347	-0.7614098	Sim
Ldb1	19	46032593	46045214	-	4.7995596	4.8974857	4.9921536	Sim
Nolc1	19	46075863	46085528	+	8.436333	7.4194098	8.316945	Sim
Psd	19	46312087	46327156	-	0.5314287	-0.15127335	-0.7420445	Sim
Usmg5	19	47083471	47090625	-	8.6668625	8.836534	8.912329	Sim
Sorcs1	19	50143301	50678646	-	-1.0884675	-5.3476706	-4.648935	Sim
A630007B06Rik	19	56787481	56822190	-	5.372169	5.508236	5.23493	Sim
Fam45a	19	60811585	60836227	+	5.568693	5.279255	5.057503	Sim
Suv39h1	X	8061171	8074760	-	6.688352	6.467713	6.588514	Sim
Maoa	X	16619698	16687818	+	6.1120706	5.210112	5.951783	Sim
Upf3b	X	37091678	37110322	-	6.4663467	6.550427	5.777819	Sim
Mcts1	X	38600578	38613426	+	6.119408	6.0467925	6.3935905	Sim
Dcaf12l2	X	44365458	44368342	-	-0.9471118	-1.4090711	-0.92646897	Sim
Aifm1	X	48474944	48513563	-	5.6324306	5.4415913	5.707297	Sim
Rap2c	X	51003912	51018018	-	4.457519	5.8063035	5.2953377	Sim
Cxx1a	X	53642488	53643763	-	1.7927363	1.6065257	1.3881541	Sim
Zfp275	X	73342621	73359080	+	5.48785	5.4221673	5.45741	Sim
Fam3a	X	74384719	74393272	-	2.6711268	3.3117306	2.6103373	Sim
Ikbkg	X	74393290	74453854	+	4.780809	5.1885767	4.6731434	Sim
Tbl1x	X	77511013	77662983	+	7.8472176	7.783651	7.9385457	Sim
Pcyt1b	X	93654863	93749951	+	4.6446476	4.2310166	2.8688655	Sim
Fam123b	X	95420318	95444872	-	5.742374	5.8005943	5.9041824	Sim
Efnb1	X	99136130	99148991	+	1.8240695	4.642433	4.499796	Sim
Chic1	X	103356476	103396092	+	3.9693651	3.7781734	3.8878949	Sim
Abcb7	X	104280657	104413856	-	5.8597274	5.6096735	5.9519067	Sim
1700008I05Rik	X	135654698	135693790	-	0.33976942	-0.34767053	-1.0244442	Sim
Frmpd3	X	140367494	140394540	+	-4.5909677	-1.2602078	-0.8904897	Sim
Tro	X	150645304	150657583	-	5.0627728	4.0925064	5.3207874	Sim
Hsd17b10	X	152001845	152004442	+	6.244819	6.460087	6.4787583	Sim
